DmBraiPF	DmBraiYF	DmFaboPF	DmFaboYF	DmGutPF	DmGutYF	DmLipoPF	DmLipoYF	DmSaglPF	DmSaglYF	DmWidsPF	DmWidsYF
Brassicasterol	0.05820	0.52266	NA	0.29775	0.03044	1.35840	0.10485	2.51125	0.03727	0.15821	0.31785	0.84145
Campesterol	1.36516	0.43152	NA	0.26926	1.04736	1.49694	4.00897	2.57432	1.77046	0.13153	NA	NA
Cer 32:1:2	0.10105	0.09407	0.02180	0.03109	0.00725	0.00761	0.05050	0.02233	0.01676	0.01341	0.01693	0.01137
Cer 32:2:2	NA	NA	0.00264	0.00122	0.00228	0.00467	0.01290	0.00242	NA	NA	NA	NA
Cer 32:2:3	NA	NA	NA	NA	0.00140	0.00216	0.00376	NA	NA	NA	NA	NA
Cer 34:0:2	NA	NA	NA	NA	NA	NA	0.00766	0.00298	NA	NA	0.00526	0.00379
Cer 34:1:2	0.42093	0.40235	0.12149	0.14429	0.04529	0.06381	0.42401	0.13180	0.25290	0.27226	0.43096	0.39615
Cer 34:1:3	NA	NA	NA	NA	0.00680	0.00593	0.00367	0.00673	NA	NA	NA	NA
Cer 34:2:2	0.01678	0.00955	0.01462	0.00547	0.01556	0.03004	0.04913	0.00100	0.00366	0.00221	0.00522	0.00249
Cer 34:2:3	NA	NA	0.01936	0.00195	0.05990	0.04456	0.06765	0.00145	0.01044	0.00065	0.01224	0.00076
Cer 35:2:3	NA	NA	NA	NA	0.00576	0.00317	NA	NA	NA	NA	NA	NA
Cer 36:1:2	0.39775	0.38085	0.07231	0.16689	0.05769	0.06604	0.05511	0.13080	0.11539	0.15047	0.40123	0.46048
Cer 36:1:3	NA	NA	NA	NA	0.01189	0.01009	0.01730	0.00682	0.00930	0.00138	NA	NA
Cer 36:2:2	0.01552	0.00997	0.00973	0.00560	0.02570	0.03140	0.03853	0.00152	0.00550	0.00269	0.00977	0.00519
Cer 36:2:3	0.00570	NA	0.02774	0.00174	0.20433	0.12352	0.18605	0.00614	0.00510	0.00281	0.00348	0.00239
Cer 37:1:2	NA	NA	0.00516	0.00300	0.00332	0.00266	NA	NA	0.00237	0.00135	0.00783	0.00346
Cer 37:1:3	NA	NA	NA	NA	0.00168	0.00178	NA	NA	NA	NA	NA	NA
Cer 37:2:3	NA	NA	NA	NA	0.00834	0.00597	NA	NA	NA	NA	NA	NA
Cer 38:0:3	NA	NA	NA	NA	0.00390	0.00317	NA	NA	NA	NA	NA	NA
Cer 38:1:2	0.02829	0.03416	0.10226	0.02410	0.00989	0.01039	0.02859	0.08075	0.02421	0.02784	0.02084	0.06576
Cer 38:1:3	NA	NA	NA	NA	0.00856	0.00539	NA	NA	NA	NA	NA	NA
Cer 38:2:2	0.00169	0.01032	0.00735	0.00277	0.00659	0.00687	NA	NA	NA	0.00126	0.00461	0.00313
Cer 38:2:3	NA	NA	NA	NA	0.10394	0.06305	0.03021	0.00175	NA	NA	NA	NA
Cer 39:1:2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00067
Cer 40:1:2	NA	NA	NA	NA	NA	NA	NA	NA	0.03533	0.02113	NA	NA
Cer 40:2:2	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00119	NA	NA
CerPE 32:1:2	0.78247	0.57559	NA	0.01471	0.07519	0.05808	0.20552	0.19567	0.09022	0.05725	0.12400	0.07659
CerPE 32:2:2	0.15135	0.09822	NA	NA	0.02490	0.04597	0.11096	0.07287	NA	NA	0.01694	0.01025
CerPE 32:2:3	NA	NA	NA	NA	0.01629	0.01091	NA	NA	NA	NA	NA	NA
CerPE 34:0:2	0.06258	0.03243	NA	NA	NA	NA	NA	NA	NA	NA	0.03499	0.02493
CerPE 34:1:2	2.17704	1.63016	0.27937	0.17351	0.32078	0.36833	0.26425	0.25532	1.14510	0.77836	1.88362	1.46958
CerPE 34:1:3	NA	NA	NA	NA	0.05390	0.02564	NA	NA	NA	NA	NA	NA
CerPE 34:2:2	0.65890	0.33371	0.24583	0.04671	0.23003	0.29705	0.16387	0.11035	0.14041	0.03294	0.12623	0.06496
CerPE 34:2:3	NA	NA	0.03402	NA	0.50397	0.23940	0.06344	NA	NA	NA	0.01259	0.00353
CerPE 35:1:2	0.01830	0.00326	NA	NA	NA	NA	NA	NA	NA	NA	0.01174	0.01535
CerPE 36:0:2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01165	0.01193
CerPE 36:1:2	2.03119	1.32643	0.05663	0.19794	0.29769	0.38825	0.04689	0.10510	0.63030	0.35391	1.46050	1.51532
CerPE 36:1:3	NA	NA	NA	NA	0.12430	0.05931	NA	NA	NA	NA	NA	NA
CerPE 36:2:2	0.49690	0.21354	0.06688	0.00588	0.25636	0.30831	0.04559	0.02191	0.06706	0.01476	0.07369	0.03784
CerPE 36:2:3	NA	NA	0.16535	0.02741	1.40464	0.60049	0.11112	0.03593	0.08347	0.01393	NA	NA
CerPE 38:1:2	0.19590	0.10763	NA	NA	0.02852	0.04640	NA	NA	0.03924	0.01733	0.13424	0.14079
CerPE 38:1:3	NA	NA	NA	NA	0.04819	0.03343	NA	NA	NA	NA	NA	NA
CerPE 38:2:2	0.09575	0.03697	0.02401	NA	0.08123	0.06892	0.09825	0.01939	NA	NA	0.01515	0.01207
CerPE 38:2:3	NA	NA	0.01561	0.03226	0.58451	0.26720	0.05233	0.02086	0.02808	0.01326	0.01882	0.01197
CerPE 40:1:2	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00772	NA	NA
DAG 24:0	0.00677	0.00690	0.07877	0.02501	0.01087	0.01499	2.24950	0.85488	0.04061	0.00790	0.15476	0.03334
DAG 24:1	NA	NA	0.03116	0.00624	NA	NA	0.13916	0.09822	NA	NA	0.00731	0.00137
DAG 25:0	NA	NA	NA	NA	NA	NA	1.20750	0.60382	NA	NA	0.11199	0.02240
DAG 25:1	NA	NA	NA	NA	NA	NA	0.12328	0.08910	NA	NA	NA	NA
DAG 26:0	0.17616	0.10854	0.85993	0.24129	0.15482	0.10742	28.40346	11.91218	0.44590	0.18292	0.84602	0.50724
DAG 26:1	0.08365	0.06035	0.15477	0.12168	0.07167	0.05487	14.95427	6.54966	0.29168	0.09488	0.41863	0.29852
DAG 26:2	NA	NA	NA	NA	NA	NA	1.65237	0.81880	0.01604	0.00686	0.14130	0.02778
DAG 27:0	0.05722	0.04925	0.26144	0.10338	0.05144	0.05355	8.30278	5.90701	0.22501	0.06468	0.26536	0.24048
DAG 27:1	0.03384	0.05217	0.04051	0.04856	0.02787	0.02899	6.02023	3.95245	0.17421	0.03980	0.18410	0.17224
DAG 27:2	NA	NA	NA	NA	NA	NA	0.84293	0.42633	NA	NA	0.01832	0.01206
DAG 28:0	0.35804	0.22451	1.76162	0.51520	0.37320	0.23109	48.36047	22.88984	1.00710	0.39341	1.67228	0.95509
DAG 28:1	0.50322	0.37144	1.03936	0.89413	0.35110	0.29999	67.76919	42.24402	1.15093	1.04303	2.22470	1.86791
DAG 28:2	0.45752	0.23791	0.47943	0.47554	0.26335	0.14739	64.83200	27.20729	1.01102	0.51457	2.11486	1.25272
DAG 28:3	0.06105	NA	NA	NA	0.04190	0.00087	11.43675	0.16005	0.22833	NA	0.33100	0.00262
DAG 28:4	NA	NA	NA	NA	NA	NA	0.59964	NA	NA	NA	0.01013	NA
DAG 29:0	0.02647	0.02846	NA	NA	NA	NA	2.33472	1.63964	NA	NA	0.08625	0.06276
DAG 29:1	0.02332	0.03955	0.04194	0.07152	NA	NA	4.24192	3.11131	0.20796	0.03094	0.13696	0.11802
DAG 29:2	0.00854	0.00676	NA	NA	NA	NA	2.22253	1.00595	0.08462	0.00392	0.06658	0.03330
DAG 30:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.06500	0.02367
DAG 30:1	0.03331	0.12662	1.48976	0.75478	0.05469	0.11100	2.41740	4.17939	0.19560	0.19630	0.08626	0.19733
DAG 30:2	0.01863	0.05627	0.27065	0.18288	0.02694	0.04915	2.12571	3.66586	0.08544	0.07226	0.05704	0.12062
DAG 30:3	0.03092	NA	NA	NA	0.01511	0.00189	4.08879	0.13168	0.14847	NA	0.09592	0.00087
DAG 30:4	NA	NA	NA	NA	NA	NA	0.90562	0.01488	NA	NA	0.08716	NA
DAG 31:0	0.02391	0.01804	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DAG 31:1	0.00654	0.01300	0.31353	0.08921	NA	NA	NA	NA	0.04073	0.01783	NA	NA
DAG 32:0	NA	NA	NA	NA	0.09450	0.05333	NA	NA	NA	NA	NA	NA
DAG 32:1	0.07152	0.26555	3.16195	0.95475	0.10417	0.18804	1.46621	2.47773	0.31725	0.33871	0.19188	0.25371
DAG 32:2	0.06205	0.17804	1.91200	0.69440	0.11632	0.12105	1.50666	2.61438	0.24975	0.23848	0.17971	0.18572
DAG 32:3	NA	NA	1.36716	0.07848	0.12614	0.03277	0.76714	0.25699	0.57649	0.10058	0.13321	0.03061
DAG 32:4	NA	NA	NA	NA	NA	NA	0.14489	0.03391	NA	NA	NA	NA
DAG 33:1	0.00966	0.01634	0.44506	0.08884	NA	NA	NA	NA	0.05411	0.02000	NA	NA
DAG 33:2	NA	NA	0.17258	0.01076	NA	NA	NA	NA	NA	NA	NA	NA
DAG 34:1	0.14256	0.24583	2.98768	0.76025	0.34341	0.23485	1.12630	1.66812	0.49314	0.31881	0.22982	0.18349
DAG 34:2	0.19282	0.22867	2.19758	0.49475	0.59494	0.12445	1.32257	1.10709	0.45500	0.19795	0.30109	0.19698
DAG 34:3	0.27697	0.03855	0.99390	0.02328	0.12136	0.01936	0.76024	0.20050	0.19725	0.01480	0.17365	0.02945
DAG 34:4	0.07461	0.00299	0.33151	NA	0.02223	0.00096	0.33392	0.01517	0.04048	NA	0.05166	NA
DAG 35:0	NA	NA	NA	NA	0.02468	0.01066	NA	NA	NA	NA	NA	NA
DAG 35:1	0.00675	0.00552	NA	NA	0.02028	0.02647	NA	NA	NA	NA	NA	NA
DAG 35:2	NA	NA	NA	NA	0.01739	0.00791	NA	NA	NA	NA	NA	NA
DAG 36:1	NA	NA	0.51883	0.05200	0.13786	0.06934	0.10717	0.70881	0.27109	0.04201	0.06963	0.02179
DAG 36:2	0.07834	0.09556	0.24739	0.06996	0.57576	0.06621	0.18192	0.41777	0.12572	0.04915	0.10006	0.06256
DAG 36:3	0.16728	0.02852	0.31215	0.00930	1.25788	0.01769	0.29188	0.08471	0.11296	0.00653	0.15825	0.02462
DAG 36:4	0.19926	0.00928	0.25741	0.00346	1.54514	0.00521	0.28818	0.02825	0.09521	NA	0.18782	0.00805
DAG 36:5	0.14699	NA	NA	NA	0.22601	NA	NA	NA	NA	NA	NA	NA
DAG 36:6	0.02149	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DAG 38:1	0.04189	0.03358	NA	NA	0.07309	0.05547	NA	NA	NA	NA	0.07294	0.01123
DAG 38:2	0.00836	0.00832	NA	NA	0.04447	0.00733	NA	NA	NA	NA	0.02764	0.00338
Ergosterol	0.01379	1.31250	NA	0.48208	0.01063	4.57880	NA	3.53722	NA	0.15203	NA	1.80931
HexCer 34:1:2	NA	NA	NA	NA	NA	0.00325	NA	NA	NA	NA	NA	NA
HexCer 34:2:3	NA	NA	NA	NA	0.00383	0.02970	NA	NA	NA	NA	NA	NA
HexCer 36:1:2	NA	NA	NA	NA	NA	0.00269	NA	NA	NA	NA	NA	NA
HexCer 36:2:2	NA	NA	NA	NA	0.00702	0.00329	NA	NA	NA	NA	NA	NA
HexCer 36:2:3	NA	NA	NA	NA	0.03275	0.03382	NA	NA	NA	NA	NA	NA
HexCer 38:2:3	NA	NA	NA	NA	0.01866	0.01015	NA	NA	NA	NA	NA	NA
Lanosterol	NA	NA	NA	NA	0.01441	0.02006	NA	NA	NA	NA	NA	NA
PA 32:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.02571
PA 34:1	NA	NA	NA	NA	0.13669	0.19133	NA	NA	NA	NA	NA	0.07192
PA 34:2	NA	NA	NA	NA	0.04262	0.05874	NA	NA	NA	NA	NA	0.03045
PA 36:2	NA	NA	NA	NA	0.01814	0.02187	NA	NA	NA	NA	NA	NA
PA 40:5	NA	NA	NA	NA	NA	0.03597	NA	NA	NA	NA	NA	NA
PC 24:0	NA	NA	NA	NA	NA	NA	NA	NA	0.01371	0.01650	NA	NA
PC 26:0	NA	NA	0.03224	0.06987	0.03138	0.03246	0.02046	0.02864	0.13251	0.10079	0.01038	0.01725
PC 26:1	0.01375	0.06480	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PC 28:0	0.02118	0.01717	0.11798	0.08880	0.24163	0.14361	0.08213	0.03431	0.12151	0.09661	0.06641	0.04814
PC 28:1	0.00849	0.03286	0.14986	0.33168	0.18479	0.43879	0.06343	0.19097	0.11452	0.36718	0.02955	0.11106
PC 28:2	NA	NA	NA	NA	0.06169	0.10560	NA	NA	0.01091	0.03692	0.00270	0.00398
PC 30:0	0.10975	0.04938	0.13939	0.03819	0.32627	0.19398	0.07885	0.01751	0.13931	0.06997	0.13446	0.06179
PC 30:1	0.10078	0.55700	1.90716	2.36610	0.82394	2.42462	0.54255	1.26429	0.71592	1.79796	0.32798	1.40956
PC 30:2	0.02084	0.06445	0.33379	0.27146	0.46305	0.70723	0.18797	0.12097	0.28613	0.44883	0.07946	0.12002
PC 30:3	NA	NA	NA	NA	0.10071	0.01960	0.04242	0.03539	NA	NA	NA	NA
PC 32:0	0.28082	NA	NA	NA	0.07921	0.00418	0.03771	NA	0.05825	0.00158	0.08115	NA
PC 32:1	0.73351	2.99138	4.38279	2.92322	1.69700	4.64248	1.33499	1.92487	2.08553	4.09780	1.07590	2.92440
PC 32:2	0.54907	2.27960	3.43995	3.44860	2.44281	4.26575	0.88409	1.51760	3.04326	4.58168	1.44861	2.88588
PC 32:3	0.17814	0.01891	0.42273	0.01529	0.43021	0.07322	0.10794	0.00799	0.43211	0.04334	0.15647	0.02121
PC 32:4	NA	NA	NA	NA	0.12873	0.15290	0.03229	0.09172	0.05157	0.12223	0.01917	0.08946
PC 34:0	0.04443	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PC 34:1	1.27307	2.16772	3.64436	2.24104	1.26396	3.05441	1.10760	1.17400	1.95527	1.97262	0.80869	1.06776
PC 34:2	3.16104	3.32272	5.70752	2.57054	4.05346	5.05868	1.49547	1.11157	8.87767	4.75476	4.57459	2.65625
PC 34:3	2.29118	0.41527	2.26612	0.23440	2.13501	0.52195	0.38700	0.07846	4.21541	0.61123	2.19953	0.48682
PC 34:4	0.40879	0.17048	0.50791	0.27642	0.62127	0.29548	0.06818	0.08152	0.55465	0.25659	0.27247	0.17955
PC 34:5	0.03724	0.13183	0.33700	0.38747	0.17056	0.27979	0.10617	0.11996	0.22563	0.30787	0.06912	0.18607
PC 36:2	0.62185	1.17574	0.96424	0.46044	1.05126	1.71768	NA	NA	0.59173	0.84990	0.26435	0.60187
PC 36:3	1.63638	0.33955	0.99060	0.04247	2.47495	0.37395	NA	NA	2.02334	0.26451	1.04820	0.28779
PC 36:4	1.99667	0.13808	0.94834	0.16215	2.75624	0.18621	NA	NA	3.88179	0.11912	2.30297	0.06882
PC 36:5	0.71917	0.07702	NA	NA	0.24775	0.17526	0.01796	0.00568	0.45389	0.14202	0.53030	0.16465
PC 38:2	NA	NA	NA	0.04258	NA	NA	NA	NA	NA	NA	NA	NA
PC 38:5	0.02593	0.05109	NA	NA	0.04208	0.09521	NA	NA	0.01535	0.04278	0.00405	0.02640
PC 38:6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.02466	0.00362
PC 38:7	0.08797	0.00129	NA	NA	0.14996	0.00049	NA	NA	NA	NA	0.11572	0.00057
PC_O 32:1	NA	0.00417	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PC_O 34:1	0.00052	0.00427	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PE 26:0	NA	NA	NA	0.15909	NA	NA	NA	0.17933	NA	NA	NA	NA
PE 28:0	NA	NA	NA	0.07781	0.07228	0.01788	NA	0.07461	0.02830	0.03547	0.05814	0.04723
PE 28:1	NA	NA	NA	0.28887	0.01395	0.03757	0.09992	0.20736	NA	0.07788	0.00464	0.03913
PE 30:0	0.08849	0.06105	NA	NA	0.17615	0.09795	0.03525	0.01722	0.19567	0.12402	0.45663	0.21666
PE 30:1	0.03922	0.35279	1.15583	2.71147	0.16115	0.37875	0.53958	3.01439	0.25456	1.07932	0.23282	0.57770
PE 30:2	NA	0.00650	NA	0.04463	0.02923	0.03738	NA	0.06757	NA	0.06031	NA	NA
PE 31:1	NA	NA	NA	0.16264	NA	NA	NA	NA	NA	NA	NA	NA
PE 32:0	0.20159	0.08211	NA	NA	0.48967	0.43134	0.13026	NA	0.18149	0.03661	0.30837	0.10169
PE 32:1	0.61613	5.06675	9.23641	17.80205	1.48100	2.98106	7.32509	22.04653	2.77279	8.25895	2.79255	8.29162
PE 32:2	0.18469	1.57173	5.39016	5.53358	0.75953	1.64964	3.44889	3.45592	1.33837	2.29084	0.75144	2.38497
PE 32:3	0.08633	0.01176	NA	NA	0.08003	0.00739	0.58481	0.02362	0.06200	0.00572	0.07434	0.01980
PE 32:4	NA	0.04788	NA	NA	0.01309	0.05089	0.03404	0.42835	0.01415	0.14467	0.01779	0.09589
PE 33:1	NA	NA	0.29525	0.31499	NA	NA	NA	NA	NA	NA	NA	NA
PE 33:2	NA	NA	NA	0.05521	NA	NA	NA	NA	NA	NA	NA	NA
PE 34:1	8.10707	11.61769	10.40628	13.23802	7.29318	6.98210	11.26025	21.19646	11.06412	11.88243	10.49339	10.17078
PE 34:2	3.99151	5.08701	19.66330	12.70056	5.78063	4.62765	24.12874	7.89880	12.60551	5.24497	8.16840	5.15721
PE 34:3	4.05263	0.94746	4.65971	0.20933	1.89544	0.33785	4.88950	0.76866	1.76281	0.41435	1.58760	0.61473
PE 34:4	0.14548	0.78853	NA	NA	0.23156	0.47038	1.07698	4.09310	0.39060	1.28046	0.38789	0.85074
PE 34:5	0.01127	0.21041	NA	NA	0.11341	0.25459	0.45765	0.51212	0.19154	0.30969	0.09972	0.20640
PE 35:1	NA	NA	0.10914	0.07513	NA	NA	NA	NA	NA	NA	NA	NA
PE 35:2	NA	NA	NA	0.05216	NA	NA	NA	NA	NA	NA	NA	NA
PE 36:0	0.07923	NA	NA	NA	0.11484	0.11352	0.09423	NA	NA	NA	NA	NA
PE 36:1	2.55060	3.16225	NA	0.04265	1.65252	1.99532	NA	NA	NA	NA	0.74362	0.88251
PE 36:2	3.57734	5.45688	2.92446	5.15560	4.37245	4.02020	2.59926	4.98230	2.19156	3.21296	2.51558	2.58840
PE 36:3	5.31541	0.99995	3.96185	0.09432	4.41237	0.58862	2.61551	0.90044	2.48566	0.36554	2.36488	0.77107
PE 36:4	3.01668	2.16241	1.52656	NA	4.16689	1.28113	2.08156	3.86253	2.03031	1.89742	2.91698	2.31469
PE 36:5	0.80496	0.77475	NA	NA	1.03078	0.79181	3.86193	1.24119	1.91109	0.73564	1.28622	0.70007
PE 36:6	0.52317	0.12455	NA	NA	0.27987	0.04083	0.65437	0.09608	0.23407	0.04532	0.20350	0.06932
PE 38:1	0.11374	0.17842	NA	NA	0.56052	0.66876	NA	NA	0.10644	0.09803	0.03920	0.09022
PE 38:2	0.39887	0.24610	NA	NA	0.97791	0.29223	NA	NA	0.61137	0.16343	0.52934	0.25406
PE 38:3	0.31132	0.03766	NA	NA	0.20747	0.03837	NA	NA	0.24288	0.01780	0.18988	0.05477
PE 38:4	0.33363	0.44819	NA	NA	0.22737	0.21291	NA	NA	0.03772	0.03699	0.08234	0.07164
PE 38:5	0.40307	0.76187	NA	NA	0.61305	0.65585	NA	NA	0.12084	0.33479	0.23160	0.32498
PE 38:6	0.68300	0.13032	NA	NA	0.69319	0.07204	NA	NA	0.31677	0.03255	0.29188	0.08608
PE 40:2	NA	NA	NA	NA	0.14001	0.08716	NA	NA	NA	NA	NA	NA
PE 40:4	NA	NA	NA	NA	0.08697	0.07393	NA	NA	NA	NA	NA	NA
PE 40:5	NA	NA	NA	NA	0.10093	0.01456	NA	NA	NA	NA	NA	NA
PE 40:6	NA	NA	NA	NA	0.05715	0.01625	NA	NA	NA	NA	NA	NA
PE 40:7	0.00820	0.04911	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PE 40:8	0.03404	0.10392	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PE 40:9	0.07532	0.00514	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PE_O 32:1	NA	0.03843	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PE_O 34:1	0.04544	1.41403	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PE_O 34:3	0.06378	0.00747	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PE_O 36:1	0.43572	1.24342	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PE_O 36:2	0.75492	0.90103	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PE_O 36:3	5.51630	0.87344	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PE_O 36:4	0.04291	0.18931	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PE_O 38:1	0.05782	0.13109	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PE_O 38:3	0.49087	0.09410	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PE_O 38:4	0.04693	0.17048	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PE_O 38:5	0.09035	0.11973	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PE_O 38:6	0.72761	0.12559	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PG 30:1	NA	NA	NA	0.01441	NA	NA	NA	NA	NA	NA	NA	0.00660
PG 32:1	NA	0.07833	0.05152	0.16131	0.01985	0.11103	NA	NA	NA	0.03417	0.00793	0.14099
PG 32:2	NA	0.02673	NA	0.03519	0.01817	0.05156	NA	NA	NA	0.01791	NA	0.05199
PG 34:1	0.08149	0.05239	0.05752	0.18138	0.06919	0.11518	NA	NA	NA	0.02482	0.04835	0.05370
PG 34:2	0.03141	0.04961	NA	0.03687	0.13396	0.06498	NA	NA	0.01752	0.04533	0.11352	0.12562
PG 34:3	0.04193	NA	NA	NA	0.02993	NA	NA	NA	NA	NA	0.01468	NA
PG 36:2	0.00617	NA	NA	NA	NA	0.00813	NA	NA	NA	NA	NA	0.00674
PG 36:3	NA	NA	NA	NA	0.00889	NA	NA	NA	NA	NA	0.00912	0.00690
PG 36:4	0.00912	NA	NA	NA	0.02374	NA	NA	NA	NA	NA	NA	NA
PI 28:0	NA	NA	NA	NA	0.11032	0.11972	NA	NA	NA	NA	NA	NA
PI 28:1	NA	NA	NA	0.09625	0.02389	0.24019	NA	NA	NA	NA	NA	NA
PI 30:1	NA	0.17249	0.17588	2.36461	0.13551	1.35606	NA	NA	NA	0.49256	NA	0.67369
PI 30:2	NA	NA	0.25541	0.05705	0.16832	0.29993	NA	NA	NA	0.04779	NA	NA
PI 31:1	NA	NA	NA	NA	NA	0.20708	NA	NA	NA	NA	NA	NA
PI 32:1	0.04003	1.68507	0.62244	10.49736	0.38356	6.06005	NA	0.90678	0.09231	3.38459	0.03877	4.26791
PI 32:2	0.01766	0.91115	3.59925	2.99154	1.14733	4.07050	NA	0.10158	0.21991	3.12895	0.08920	2.49046
PI 32:3	NA	NA	NA	NA	0.23946	0.01101	NA	NA	NA	NA	NA	NA
PI 32:4	NA	NA	NA	NA	0.03183	0.03755	NA	NA	NA	NA	NA	NA
PI 33:1	NA	NA	NA	0.11975	NA	0.23048	NA	NA	NA	NA	NA	NA
PI 33:2	NA	NA	NA	NA	0.14208	0.06385	NA	NA	NA	NA	NA	NA
PI 34:1	0.02496	0.88944	NA	3.04410	NA	1.48549	NA	0.34408	0.07919	1.44212	NA	1.28377
PI 34:2	0.73926	4.25367	9.85227	3.91750	6.13244	6.98171	0.13359	0.15856	3.32463	16.61715	1.66453	14.29308
PI 34:3	1.96013	0.54661	1.54457	0.14655	1.60330	0.41469	NA	NA	2.03000	0.77826	1.23981	0.65368
PI 34:4	0.26310	0.19948	NA	0.42026	0.29018	0.20681	NA	NA	0.22539	0.21229	0.11263	0.20440
PI 34:5	NA	NA	NA	0.10054	0.03930	0.13484	NA	NA	NA	0.09642	NA	0.07909
PI 35:1	NA	NA	NA	NA	NA	0.05675	NA	NA	NA	NA	NA	NA
PI 35:2	NA	NA	NA	NA	0.13238	0.04505	NA	NA	NA	NA	NA	NA
PI 36:1	NA	NA	NA	NA	NA	0.25268	NA	NA	NA	NA	NA	NA
