BY4741_24	BY4741_37	Elo1_24	Elo1_37	Elo2_24	Elo2_37	Elo3_24	Elo3_37
CL 16:0/16:0/16:1/16:1	NA	NA	0.0067	NA	NA	0.009874	NA	0.003402
CL 16:0/16:0/16:1/18:1	0.1579	0.0862	0.0752	0.07185	0.1216	0.087142	0.1307	0.071286
CL 16:0/16:1/16:1/16:1	NA	NA	NA	NA	0.0319	0.0086	NA	NA
CL 16:0/16:1/18:0/18:1	0.0225	0.0109	0.0171	0.00971	0.0682	0.03616	0.0044	0.002372
CL 16:0/18:0/18:1/18:1	0.1534	0.1297	0.0856	0.12314	0.1908	0.158285	0.11	0.069151
CL 16:1/16:1/16:1/16:1	0.1191	0.0943	0.0874	0.10705	0.0254	NA	0.188	0.188065
CL 16:1/16:1/16:1/18:1	0.2516	0.4008	NA	0.37439	0.1037	0.10277	0.2849	0.352736
CL 16:1/16:1/18:1/18:1	0.1745	0.5435	0.1533	0.53201	0.1823	0.306938	0.1615	0.211797
CL 16:1/18:1/18:1/18:1	0.0687	0.338	0.06	0.4072	0.1468	0.277402	0.036	0.076191
CL 18:0/18:1/18:1/18:1	0.0028	0.0018	NA	NA	0.005	0.008693	0.0006	NA
CL 18:1/18:1/18:1/18:1	0.0023	0.0398	0.0019	0.10634	0.0221	0.061197	NA	0.00123
Cer 18:0;3/16:0;0	NA	NA	NA	NA	0.0311	0.0084	0.016	NA
Cer 18:0;3/18:0;1	NA	NA	NA	NA	0.0045	0.005164	NA	NA
Cer 18:0;3/20:0;1	NA	NA	NA	NA	NA	NA	0.0094	NA
Cer 18:0;3/22:0;0	NA	NA	NA	NA	NA	NA	0.0222	0.040777
Cer 18:0;3/22:0;1	NA	NA	NA	NA	NA	NA	0.0781	0.108509
Cer 18:0;3/24:0;1	NA	0.0052	0.0138	NA	0.0412	0.013064	0.0294	0.007902
Cer 18:0;3/26:0;0	NA	0.0103	NA	0.00499	NA	NA	NA	NA
Cer 18:0;3/26:0;1	0.0693	0.1439	0.1745	0.1485	0.0148	0.069065	NA	NA
Cer 20:0;3/26:0;1	NA	0.0226	0.023	0.03217	NA	NA	NA	NA
DAG 12:0/16:0	0.1048	0.0116	0.0366	0.017	0.0401	0.029723	0.0507	0.021149
DAG 12:0/16:1	0.0362	NA	NA	NA	0.0423	0.005868	0.1392	0.008471
DAG 14:0/16:0	0.0136	0.0049	0.0229	0.03515	0.0077	0.011049	NA	0.005013
DAG 14:0/16:1	0.1368	NA	0.1272	0.10623	0.0657	0.020635	0.2123	0.06731
DAG 14:1/16:1	NA	NA	NA	NA	NA	NA	0.0373	NA
DAG 16:0/16:0	NA	0.0194	NA	0.00845	NA	0.019976	NA	NA
DAG 16:0/16:1	0.7575	0.5447	0.4285	0.56967	0.4439	0.548412	0.4904	0.6387
DAG 16:0/18:1	0.6877	0.8589	0.4448	0.85786	0.8411	1.031927	0.3929	0.519556
DAG 16:1/16:1	0.8665	0.3798	0.3409	0.36553	0.5152	0.387225	0.9934	0.859012
DAG 16:1/18:1	0.8309	0.6442	0.3777	0.72964	1.0266	0.86084	0.714	0.825597
DAG 18:0/18:1	0.1532	0.2369	0.121	0.33174	0.4762	0.502308	0.0523	0.013492
DAG 18:1/18:1	0.0206	0.0181	0.0098	0.03292	0.1904	0.086252	0.0064	0.012969
Ergostadienol	2.3552	NA	1.0855	NA	NA	NA	1.6858	NA
Ergosterol	11.979	13.18	12.639	12.7983	10.906	13.75242	9.0739	12.27311
IPC 18:0;2/20:0;0	NA	NA	NA	0.00061	NA	NA	NA	NA
IPC 18:0;3/16:0;0	NA	NA	NA	NA	0.5441	0.24088	0.2683	0.247572
IPC 18:0;3/16:0;1	NA	NA	NA	NA	0.0712	0.079617	0.0371	0.062647
IPC 18:0;3/18:0;0	NA	NA	NA	NA	0.416	0.381782	0.0681	0.266651
IPC 18:0;3/18:0;1	NA	NA	NA	NA	0.2629	0.2356	0.0388	0.092749
IPC 18:0;3/20:0;0	NA	NA	NA	NA	0.0169	0.169607	0.2853	0.273194
IPC 18:0;3/20:0;1	NA	NA	NA	NA	0.0154	0.159651	0.345	0.459495
IPC 18:0;3/22:0;0	NA	NA	NA	NA	0.0009	NA	2.0851	1.158884
IPC 18:0;3/22:0;1	NA	NA	NA	NA	NA	0.011975	4.1768	3.762778
IPC 18:0;3/22:0;2	NA	NA	NA	NA	NA	NA	0.03	0.046137
IPC 18:0;3/24:0;0	NA	NA	0.0042	NA	0.0929	0.06624	0.1325	0.907387
IPC 18:0;3/24:0;1	0.0926	0.0521	0.2686	0.04138	0.2377	0.323955	0.3305	2.386949
IPC 18:0;3/24:0;2	NA	NA	NA	NA	NA	0.017105	0.0078	0.035265
IPC 18:0;3/26:0;0	0.0475	0.0923	0.1444	0.0839	0.0983	0.169894	0.0053	NA
IPC 18:0;3/26:0;1	0.6338	1.117	2.2818	0.98123	0.2915	1.037225	NA	NA
IPC 18:0;3/26:0;2	0.0874	0.4329	0.297	0.4309	0.0339	0.12765	NA	NA
IPC 20:0;3/24:0;0	NA	NA	NA	NA	NA	NA	NA	0.027368
IPC 20:0;3/24:0;1	NA	NA	NA	NA	NA	NA	NA	0.125819
IPC 20:0;3/26:0;0	NA	0.044	0.0209	0.04446	NA	0.017613	NA	NA
IPC 20:0;3/26:0;1	0.0039	0.3863	0.3066	0.46521	NA	0.128817	NA	NA
IPC 20:0;3/26:0;2	NA	0.0107	NA	0.00565	NA	NA	NA	NA
LCB 16:0;3	NA	NA	NA	NA	NA	NA	0.0514	NA
LCB 18:0;3	0.0631	0.0045	NA	NA	3.8245	1.340985	4.8715	1.928863
LCB 20:0;3	NA	NA	NA	NA	0.0084	0.510396	NA	0.469676
LCBP 18:0;3	NA	NA	NA	NA	0.4331	NA	0.2889	NA
LIPC 18:0;3	NA	NA	NA	NA	0.0164	0.001696	0.0284	0.003479
LPA 14:0	NA	NA	NA	0.00415	NA	NA	NA	NA
LPA 16:0	0.0499	0.0813	0.0648	0.05746	0.0015	0.021625	NA	0.013808
LPA 16:1	0.2502	0.1998	0.2203	0.15611	0.2267	0.234235	0.2164	0.279715
LPA 18:1	0.0783	0.1714	0.1014	0.12272	0.154	0.166695	0.0197	0.089449
LPC 14:0	0.0021	NA	0.0013	0.03452	NA	NA	NA	0.003574
LPC 16:0	0.0387	0.1418	0.0732	0.06986	0.002	0.08688	NA	0.050829
LPC 16:1	1.0216	0.6066	0.3323	0.41034	0.8248	0.453342	0.7254	0.76814
LPC 18:0	NA	0.0053	0.0402	0.00228	NA	NA	NA	NA
LPC 18:1	0.4912	0.5355	0.2448	0.42039	0.7673	0.500115	0.18	0.275708
LPE 14:0	0.0031	NA	NA	NA	NA	NA	NA	NA
LPE 16:0	0.0108	NA	0.107	0.00289	NA	NA	NA	NA
LPE 16:1	0.6818	0.1462	0.1719	0.08056	0.2941	0.149813	0.5471	0.29671
LPE 18:0	NA	NA	NA	NA	NA	0.005044	NA	0.001293
LPE 18:1	0.5441	0.2655	0.1948	0.12298	0.4778	0.352563	0.3082	0.312693
LPI 12:0	0.0038	NA	NA	NA	0.001	0.000438	0.0187	0.018315
LPI 14:0	NA	NA	NA	0.00367	NA	NA	0.004	0.003589
LPI 14:1	0.0004	NA	NA	NA	NA	NA	0.0265	0.004453
LPI 16:0	0.0774	0.12	0.4128	0.0928	0.1837	0.175313	0.1628	0.225437
LPI 16:1	0.1569	0.1508	0.0106	0.08977	0.1105	0.092921	0.24	0.456008
LPI 18:0	0.0221	0.0366	0.4808	0.03431	0.27	0.158807	0.1157	0.093414
LPI 18:1	0.1196	0.2273	0.0159	0.16399	0.2146	0.199652	0.1418	0.313463
LPI 22:0	NA	NA	NA	NA	NA	NA	0.075	0.043092
LPS 16:0	NA	NA	0.0194	NA	NA	NA	NA	NA
LPS 18:1	NA	0.0077	NA	NA	NA	0.009328	NA	0.002666
MIP2C 18:0;2/20:0;0	NA	NA	NA	NA	NA	NA	NA	0.000971
MIP2C 18:0;2/22:0;0	NA	NA	NA	NA	NA	NA	0.002	0.009703
MIP2C 18:0;3/16:0;1	NA	NA	NA	NA	NA	0.000751	NA	NA
MIP2C 18:0;3/18:0;1	NA	NA	NA	NA	NA	0.000865	NA	NA
MIP2C 18:0;3/20:0;0	NA	NA	NA	NA	NA	NA	0.032	0.010039
MIP2C 18:0;3/20:0;1	NA	NA	NA	NA	NA	NA	0.0404	0.043746
MIP2C 18:0;3/22:0;0	NA	NA	NA	NA	NA	NA	0.3007	0.179124
MIP2C 18:0;3/22:0;1	NA	NA	NA	NA	NA	NA	0.6548	0.583173
MIP2C 18:0;3/24:0;0	0.0036	NA	0.0388	NA	0.075	0.002716	0.2188	0.317474
MIP2C 18:0;3/24:0;1	0.0656	0.0022	0.1334	0.00359	0.2236	0.116341	0.7663	1.046862
MIP2C 18:0;3/26:0;0	0.5826	0.3312	1.1417	0.26671	1.434	0.546911	NA	NA
MIP2C 18:0;3/26:0;1	8.8928	4.3958	16.666	3.73586	5.2556	4.126691	NA	NA
MIP2C 18:0;3/26:0;2	0.048	0.1293	0.103	0.11257	0.0137	0.033588	NA	NA
MIP2C 20:0;3/24:0;0	NA	NA	NA	NA	NA	NA	0.0021	0.079311
MIP2C 20:0;3/24:0;1	NA	NA	NA	NA	NA	NA	0.0355	0.485613
MIP2C 20:0;3/26:0;0	0.0111	0.3137	0.0625	0.30904	0.0513	0.390095	NA	NA
MIP2C 20:0;3/26:0;1	0.1681	3.0099	0.6331	3.26103	0.1296	1.75836	NA	NA
MIP2C 20:0;3/26:0;2	NA	0.0047	NA	0.00698	NA	NA	NA	NA
MIPC 18:0;3/22:0;1	NA	NA	NA	NA	NA	NA	0.0912	0.121998
MIPC 18:0;3/22:0;2	NA	NA	NA	NA	NA	0.001729	NA	NA
MIPC 18:0;3/24:0;0	NA	NA	0.0021	NA	NA	NA	NA	NA
MIPC 18:0;3/24:0;1	0.0061	NA	NA	NA	NA	0.030127	0.0352	0.100603
MIPC 18:0;3/26:0;0	0.0751	0.0322	0.0533	0.03417	0.003	0.102966	NA	NA
MIPC 18:0;3/26:0;1	1.5455	1.0356	2.1092	1.00644	0.095	1.095032	NA	NA
MIPC 18:0;3/26:0;2	NA	0.1387	NA	0.14975	NA	NA	NA	NA
MIPC 20:0;3/26:0;0	NA	0.0026	NA	0.00892	NA	0.019565	NA	NA
MIPC 20:0;3/26:0;1	NA	0.528	0.1772	0.68238	NA	0.335869	NA	NA
PA 12:0/16:0	0.1126	0.1164	0.0803	0.1321	0.0362	0.03855	0.0566	0.111008
PA 12:0/16:1	0.2207	0.0552	0.1366	0.05754	0.0987	0.037831	0.2946	0.124937
PA 14:0/16:1	0.2342	0.0756	0.3057	0.26553	0.0614	0.043109	0.1971	0.169977
PA 14:1/16:0	0.0537	0.0099	0.0986	0.07496	0.0196	NA	0.0601	0.031192
PA 16:0/16:0	0.0043	0.153	NA	0.11999	0.0041	0.025282	NA	0.080581
PA 16:0/16:1	1.1589	1.2183	0.8389	0.88948	0.3115	0.514821	0.4657	0.923962
PA 16:0/18:1	0.7563	1.0998	0.7815	0.99001	0.382	0.650206	0.184	0.41539
PA 16:1/16:1	2.4128	1.2704	1.9797	1.08211	1.8201	1.56584	3.0613	3.137766
PA 16:1/18:1	3.038	3.0792	3.0215	3.23625	3.8926	4.298502	3.2346	4.495675
PA 18:0/16:1	0.0928	0.0808	0.0318	0.09851	0.0539	0.052731	0.0457	0.064475
PA 18:0/18:1	0.0566	0.1084	0.0833	0.04699	0.0796	0.051663	0.0189	0.02965
PA 18:1/18:1	0.2006	0.289	0.1874	0.3139	0.369	0.284423	0.1521	0.23336
PC 10:0/16:0	0.0383	0.0833	0.0391	0.09203	0.0095	0.05538	0.018	0.057654
PC 10:0/16:1	0.2149	0.1287	0.1106	0.12401	0.1439	0.067779	0.2165	0.115753
PC 12:0/16:0	0.0709	0.2298	0.0823	0.27112	0.0391	0.111873	0.0564	0.199804
PC 12:0/16:1	0.3773	0.3161	0.2729	0.36671	0.1904	0.144272	0.5103	0.300336
PC 14:0/16:0	0.0293	0.1312	0.0508	0.29131	0.0264	0.063613	0.0255	0.158793
PC 14:0/16:1	0.4959	0.3949	0.7494	1.54349	0.2232	0.265872	0.5516	0.704726
PC 14:1/16:1	0.2697	0.0347	0.3954	0.25591	0.1689	0.028825	0.7452	0.164443
PC 16:0/16:0	0.0432	0.0698	0.0341	0.09427	0.0303	0.051088	0.0232	0.050764
PC 16:0/16:1	1.4192	3.224	1.5116	2.80182	0.5985	2.481997	0.6761	3.074376
PC 16:0/18:0	NA	NA	NA	NA	0.0113	NA	0.0121	NA
PC 16:0/18:1	0.5334	2.396	0.7611	2.12728	0.3042	1.885125	0.112	1.124825
PC 16:1/16:1	5.7211	4.0642	3.8669	3.65482	4.6582	2.495093	6.6139	4.903473
PC 16:1/18:1	4.6329	5.4589	3.6392	5.90783	6.4662	4.08197	4.4125	3.825063
PC 18:0/18:0	0.0343	0.0379	0.0292	0.03164	0.0094	0.019484	0.024	0.033788
PC 18:0/18:1	0.0573	0.5006	0.1243	0.56381	0.0195	0.356015	0.02	0.171661
PC 18:1/18:1	0.3229	0.5745	0.3025	0.66358	0.9296	0.627182	0.2614	0.296416
PE 12:0/16:0	0.05	NA	0.0378	NA	NA	NA	NA	NA
PE 12:0/16:1	0.5454	0.063	0.3252	0.1445	0.1647	0.052986	0.523	0.076515
